"아마 사람이 별로 없겠죠?","Perhaps there won't be many people? (informal)"
"밖에서 나온 김에 산책해요.","Since we're out, let's go for a walk."
"다른 사람들 보다는 잘하는 편이에요.","I tend to be better than other people (at something)."
"제 이름은 발음하기가 어려워서 잊어버리가 쉬워요.","My name is hard to pronounce, so it's easy to forget."
"이게 그거였군요!","So this was about what you were talking!"
"울어 봤자 소용없어요.","Even if you cry, it will not help."
"여기에 있어 봤자 시간 낭비예요.","Even if you stay here, it is a waste of time."
"모르는 척해 봤자 이미 다 알고 있어요.","Even if you pretend you do not know, I already know all about it."
"지금 출발해 봤자 시간 안에 못 가요.","Even if you leave now, you cannot get there in time."
"집에 있어 봤자 할 일도 없어서 왔어.","If I stayed home, there's nothing to do, so I came."
