"생일 선물로 카메라 어때요?","How about a camera for their birthday present?"
"다시 하는 거 어때요?","How about doing it again?"
"아는 식당 있어요?","Do you know a restaurant? (e.g., if someone suggests eating a particular food)"
"안으로 들어가다","to go inside"
"어떻다","to be how"
"어떻게 생각해요?","What do you think? (variant using 생각하다, commonly spoken & written)"
"~에 대해서 어떻게 생각해요?","What do you think about ...? (variant using 생각하다)"
"학교에 대해서 어떻게 생각해요?","What do you think about school? (variant using 생각하다)"
"어릴 때","at a young age"
"어릴 때 유학을 가는 것에 대해서 어떻게 생각해요?","What do you think about studying abroad at a young age? (variant using 생각하다)"
"제 아이디어에 대해서 어떻게 생각해요?","What do you think about my idea? (variant using 생각하다)"
"어떤 것 같아요?","What do you think? (variant using ~ㄴ 것 같아요, usu just spoken)"
"학교 어떤 것 같아요?","What do you think about school? (variant using ~ㄴ 것 같아요)"
"제 아이디어 어떤 것 같아요?","What do you think about my idea (variant using ~ㄴ 것 같아요)?"
"가장 좋은 방법 중의 하나","one of the best methods"
"가장 좋은 웹사이트 중의 하나","one of the best websites"
"여기가 제가 제일 자주 오는 카페 중의 하나예요.","This is one of the cafés that I visit most often."
"한국에서 가장 인기 있는 영화 중의 하나예요.","It’s one of the most popular movies in Korea."
"~아/어/여도 될까요?","Is ____ okay? (softer, more polite)"
"여기 앉아도 될까요?","Okay if I sit here? (softer, more polite)"
"~아/어/여 주실래요?","Would you mind (doing something)? (asking someone else to do something)"
"조금 기다려 주실래요?","Do you mind waiting for a bit?"
"한 번 더 설명해 주실래요?","Do you mind explaining one more time?"
"~고 있는 중이다","in the middle of ____ (grammar, longer version)"
"뭐 하고 있는 중이었어요?","What were you in the middle of doing? (longer version)"
"아직 고르고 있는 중이에요.","I am still choosing. (longer version)"
"~는 중이다","in the middle of ____ (grammar, shorter version)"
"뭐 하는 중이었어요?","What were you in the middle of doing? (shorter version)"
"열쇠를 찾는 중이었어요.","I was in the of looking for my keys. (shorter version)"
"아직 고르는 중이에요.","I am still choosing. (shorter version)"
"~는 중이잖아요.","I _am_/they _are_/etc in the middle of ____ (grammar, correcting someone)"
"가고 있는 중이잖아요.","I _am_ on my way (in the middle of going; correcting someone)"
"교수님","professor"
"어머니","mother (polite, discussing one's own mom)"
"엄머님","mother (polite, discussing someone else's mom)"
"아버지","father (polite, discussing one's own father)"
"아버님","father (polite, discussing someone else's father)"
"어차피 ...","One way or another ... (so don't worry); even if ... (won't happen)"
"어차피 다시 올 거예요.","I'll come back again anyway. (So don't worry; e.g., if I forget something)"
"어차피 제가 할 수 있는 일이 아니에요.","Even if I try, it's not something that I can do."
"어차피 해야 되는 거니까, 재미있게 해요.","One way or another, you have to do it anyway, so (you’d better) try to have fun while doing it."
"어차피 늦었으니까 오지 마.","You are already late, so don't come."
"확실하다","to be sure (but not commonly spoken)"
"확실해요?","Are you sure? (but not very natural)"
"정말이에요?","Are you serious?/Is this for real?"
"스포츠 잘 몰라요","I don't know about sports."
"~(으)ㄴ/는지 잘 모르겠어요","I'm not sure if/whose... (present tense)"
"이거 누구 책인지 잘 모르겠어요.","I'm not sure whose book this is."
"~았/었/였는지 잘 모르겠어요.","I'm not sure if/whose... (past tense)"
"다 끝났는지 잘 모르겠어요.","I’m not sure if it all ended."
"~(으)ㄹ지 잘 모르겠어요.","I'm not sure if/whose... (future tense variant 1)"
"서점이 내일 문을 열지 잘 모르겠어요.","I’m not sure if the bookstore will be open tomorrow. (variant 1)"
"~(으)ㄹ 건지 잘 모르겠어요.","I'm not sure if/whose... (future tense variant 2)"
"서점이 내일 문을 열 건지 잘 모르겠어요.","I’m not sure if the bookstore will be open tomorrow. (variant 2)"
"어디로 갈지 잘 모르겠어요.","I’m not sure where we will go."
"내일 만날지 안 만날지 잘 모르겠어요.","I’m not sure if we will meet tomorrow or not."
"여기가 맞는지 잘 모르겠어요.","I’m not sure if this is the right place."
"뭘 해야 될지 잘 모르겠어요.","I am not sure what to do/what will have to be done."
"이게 무슨 뜻인지 잘 모르겠어요.","I’m not sure what this means."
"~(으)ㄴ 김에","while you are at it (past tense grammar)"
"~는 김에","while you are at it (present tense grammar)"
"백화점에 가는 김에, ...","Since I am going to the department store, ..."
"서울에 온 김에, ...","Since I came to Seoul, ..."
"반납하다","to return (e.g., a library book, something borrowed)"
"도서관에 가는 김에, 제 책도 반납해 주세요.","Since you are going to the library anyway, please return my book, too."
"부탁을 들어주다","to do someone a favor"
"밖에 나간 김에 제 부탁 하나만 들어주세요.","Since you were out, please do me a favor."
"말이 나온 김에, ...","Speaking of which, ..."
"다시 하는 거 어때요?","How about doing it again?"
"다른 사람한테 물어부는 거 어때요?","How about asking other people?"
"안으로 들어가는 거 어때요?","How about going inside?"
"내일 만나서 이야기하는 거 어때요?","How about meeting and talking about it tomorrow?"
"좋은 것 같아요.","I think it's good."
"비 오는 것 같아요.","I think it's raining."
"'콩순이'에 대해서 어떻게 생각해요?","What do you think of 'Kongsuni'? (variant: 어덯게 생각해요?)"
"'콩순이' 어떤 것 같아요?","What do you think of 'Kongsuni'? (variant: 어떤 것 같아요?)"
"그럼 이건 어떤 것 같아?","Then what about about this one? (variant: 어떤 것 같아요?)"
"가장 친한 친구","closest friend"
"가장 ... 중의 하나예요.","... is one of the most ..."
"가장 빠른 길들 중의 하나","one of the fastest ways/paths"
"가장 자주 만나는 친구들 중의 한 명","one of the friends that I meet most often"
"제가 가장 좋아하는 가수들 중의 한 명이에요.","They are one of my favorite singers."
"여기 앉아도 괜찮아요?","Okay if I sit here? (softer, more cautious)"
"창문 닫아도 될까요?","Do you mind if I close the window? (softer, more polite)"
"적다","to write"
"여기 전화번호 적어 주세요.","Please write your phone number here."
"스포츠 잘 몰아요.","I don't really know much about sports"
"솔직히","honestly"
"솔직히 좋은지 잘 모르겠어요.","Honestly I’m not sure if it’s good."
"서울에 온 김에 며칠 더 있을 거예요.","Since you came to Seoul, stay a few more days."
"A은/는 B라는 뜻이에요.","A means B."
"그러니까 ... ~다고요/라고요?","You mean ...? (variant 1, surprise + confirming something)"
"그러니까 이거 저 준다고요?","You mean you're giving this to me?"
"그러니까 ... ~(이)라는/다는 말이메요?","You mean...? (variant 2, surprise + confirming something)"
"그러니까 혼자 간다는 말이에요?","You mean you are going there alone?"
"화려하다","to be colorful, flashy (can be used negatively, as in too extravagant); flowery, extravagant"
"과식","overeating"
"과음","excessive drinking"
"과속","speeding"
"터널을 통과하다","to pass through a tunnel"
"과민 반응","overreaction"
"과민 반응 하지 마.","Don't overreact."
"과로","working too hard or too much"
"과거","the past"
"과거 시제","past tense"
"과대","oversized"
"과대 포장","oversized packaging"
"과대 평가","overestimate"
"과소비","overspending, excessive consumption"
"소비자","consumer"
"과신","overconfidence"
"아침 겸 점심","breakfast/lunch"
"가수 겸 배우","singer/actor"
"-(으)ㄹ 겸","grammar 'for this purpose, too', 'as well' (other purpose can be implied or explicit)"
"수영도 할 겸, 체육관에 갔어요.","(There’s another reason/purpose, too, but) I went to the gym to swim"
"바람 좀 쐬다","to get a breeze, to get fresh air"
"바람 좀 쐴 겸 밖에 나왔어요.","(There’s another reason/purpose, too, but) I came outside to get some fresh air."
"친구 생일 선물도 살 겸, 제 옷도 볼 겸, 백화점에 갈 거예요.","I’m going to go to the department store to buy a present for my friend’s birthday, and at the same time, look for some clothes for myself."
"식빵","sandwich bread"
"~거든요","grammar for (a) providing background info (comes after info, not before); (b) continuing a story (comes before info, not after); (c) expressing anger"
"방금","just now, a moment ago"
"저도 모르겠어요. 저 방금 왔거든요.","I don’t know either. I just got here. (background info, ~거든요)"
"제가 지금 돈이 없거든요. 만 원만 빌려주세요.","I don’t have any money now. (So...) Please lend me just 10,000 won. (continuing a story, ~거든요)"
"지난주에 제주도에 갔거든요. 그런데 계속 비가 왔어요.","I went to Jeju Island last week. But it kept raining. (continuing a story, ~거든요)"
"필요 없거든요!","I don't need it! (anger, ~거든요)"
"이미","already"
"이미 늦었거든요!","It’s already too late! (anger, ~거든요)"
"됐거든요!","It’s over. / I don’t need that. (anger, ~거든요)"
"뭔","what kind/which one (abbr version of 무슨, very informal)"
"뭔가","something (an unknown thing)"
"뭔가 달라진 것 같아요.","I feel like something has changed"
"노래 실력이 좋아졌어요.","My singing skills have improved."
"사무실이 예전이랑 많이 달라졌네요?","The office has changed a lot from before."
"훨씬","by a lot"
"직원도 훨씬 많아졌네요?","There are many more employees too."
"집에 가거나 친구를 만날 거예요.","I will either go home or meet a friend. (~거나 variant)"
"집에 가거나 아니면 친구를 만날 거예요.","I will either go home or meet a friend. (~거나 아니면 variant)"
"이거 살 거예요? 아니면 다른 거 살 거예요?","Are you going to buy this? Or are you going to buy something else?"
"~이다 (suffix)","passive voice suffix for many words ending in ~ㅎ다"
"~히다 (suffix)","passive voice suffix for many words ending in ~ㄱ다, ~ㄷ다, ~ㅂ다"
"~리다 (suffix)","passive voice suffix for many words ending in ~ㄹ다"
"~기다 (suffix)","passive voice suffix for many words ending in ~ㄴ다, ~ㅁ다, ~ㅅ다, ~ㅊ다"
"무 (word builder)","not having, none (opposite of 유)"
"유 (word builder)","having, being (opposite of 무)"
"공해","pollution"
"무공해","pollution-free (e.g., electric cars, solar panels)"
"무료","free of charge (more formal)"
"공짜","free of charge (less formal)"
"유료","has a fee/charge"
"요금","fee"
"죄","crime, guilt, sin (hint: part of formal way to say I'm sorry)"
"무죄","innocent, not guilty"
