"넘치다","to overflow"
"김치찌개","kimchi stew"
"돼지고기","pork"
"들어가다","to go in, to enter"
"냄비","pot"
"볶다","to fry"
"익다","to be cooked"
"넣다","to put in"
"정도","around, about"
"함께","together"
"마지막으로","finally"
"육수","meat broth"
"붓다","to pour"
"더","more"
"끓이다","to boil"
"완성","completed, finished"
"마늘","garlic"
"먼저","first"
"영화","movie"
"감독","director"
"좀비","zombie"
"처음으로","for the first time"
"실사","live action"
"항상","always"
"새롭다","to be new"
"기대하다","to look forward to"
"재밌겠다","this is going to be fun"
"부산행","Train to Busan (movie)"
"애니메이션","animation"
"대해서","about"
"영화에 대해서 기대하다","to be excited about a movie"
"원래","usually"
"병원","hospital"
"접수","application"
"주소","address"
"적다","to write down"
"대기실","waiting room"
"기다리다","to wait"
"간호사","nurse"
"부르다","to call out"
"의사 선생님","doctor"
"진찰을 하다","to examine"
"주사","injection, shot"
"주사를 맞다","to get an injection"
"처방전","prescription"
"약국","pharmacy"
"쉬다","to rest"
"하나도 안 아파요","it doesn't hurt at all"
"걱정 마세요","Don't worry"
"그다음에","and then"
"영화관","movie theaters"
"공포 영화","horror movie"
"무섭다","to be scary"
"인기가 많다","to be popular"
"미리","already, beforehand, in advance"
"표","ticket"
"사다","to buy"
"팝콘","popcorn"
"콜라","Coke, cola"
"곧","soon"
"시작되다","to start"
"기대되다","to look forward to"
"달인","master"
"잠의 달인","master of sleep"
"잠","sleep"
"푹 자다","to sleep well"
"중요하다","to be important"
"이런","this, such"
"방법","method"
"쓰다","to use"
"같은","same"
"낮","day, daytime"
"가볍다","to be light (not intense)"
"심하다","to be intense, harsh, severe"
"녹차","green tea"
"홍차","black tea"
"카페인","caffeine"
"음료","beverage"
"피하다","to avoid"
"우유","milk"
"잔","counter for cups/glasses"
"드리다","to eat, to drink (honorific)"
"마시다","to drink"
"잠옷","pajamas"
"이불","blanket"
"베개","pillow"
"침대","bed"
"침실","bedroom"
"편의점","convenience store"
"전자레인지","microwave"
"음료수","beverage"
"과자","snack (prepackaged foods)"
"간식","snack (all kinds)"
"과일","fruit"
"도시락","lunch box"
"가격","price"
"종류","kind, type"
"다양하다","to be various"
"벌써","already"
"지","duration, since (noun)"
"주년","anniversary"
"맞이하다","to celebrate"
"행사","event"
"간단한","simple"
"및","and, additionally"
"참석","attendance"
"부탁드리다","to request"
"갈비찜","braised short ribs"
"유행","popular"
"하나씩","one at a time"
"피부","skin"
"좋아지다","to improve"
"공기가 건조하다","the air is dry"
"보습","moisturization"
"다양한 종류","various kinds"
"마스크 팩","mask pack"
"캐릭터가 그려지다","to have characters drawn"
"처연 재료","natural ingredients, natural materials"
"꿀","honey"
"꿀이나 오이처럼 재료","materials like honey or cucumber"
"10월 초","beginning of October"
"10월 말","end of October"
"그때쯤","around that time, around then"
"단풍","fall foliage"
"점점","more and more"
"예전에는","in the old days"
"생활하다","to live; to lead a life"
"애완동물","pet"
"뜻","meaning"
"새끼 고양이","kitten"
"새끼 오리","duckling"
"요금","fare, charge"
"앱","app"
"켜다","to turn on (an app)"
"치맥","chicken and beer (abbr)"
"동호회","meetup"
"즐기다","to enjoy"
"낚시","fishing"
"가입하다","to join (a club)"
"검색","to search (for information)"
"보조 배터리","spare battery"
"원래","originally"
"절반","half"
"밥솥","rice cooker"
"세탁기","washing machine"
"전자레인지","microwave oven"
"선풍기","electric fan"
"주전자","kettle"
"청소기","vacuum cleaner"
"가습기","humidifier"
"가스레인지","gas stove"
"믹서기","blender"
"에어컨","air conditioner"
"공기청정기","air purifier"
"심하다","to be severe, harsh, intense"
"피하다","to avoid"
"생이다","to open"
"확인하다","to check, see"
"유행","fashion, trend"
"텐트를 치다","to pitch a tent"
"체험","experience, activity"
"캐다","to dig up"
"말리다","to dry"
"간단하다","to be simple"
"주로","mainly, mostly"
"치과","dental clinic"
"야간","night time, evening"
"진료","medical treatment"
"맑다","to be clear, clean"
"낫다","to be healed"
"맞이하다","to celebrate, to meet"
"부탁 드리다","to give a request"
"건조하다","to be dry"
"보습","moisturization"
"나오다","to come out; to appear; to be released"
"천연","natural"
"점점","more and more"
"초","start of"
"10월 초가 되면","at the start of October..."
"말","end of"
"10월 말이 되면","at the end of October..."
"단풍","fall foliage"
"치매","dementia"
"뇌","brain"
"신경","nerve"
"손상되다","to be damaged"
"병","disease"
"주로","mainly, mostly"
"노인","elderly"
"예방","prevention"
"굴","oysters"
"꾸준히","consistently, constantly"
"도둠이 되다","to be helpful"
"정상","top (e.g., of a mountain)"
"성격","personality"
"덕분에","thanks to"
"성격이 밝다","to have a bright personality"
"늘어나다","to increase"
"애완동물","pet (e.g., a dog or cat)"
"반려동물","companion animal"
"요금","fare, charge"
"검색하다","to search"
"앱 켜다","to open an app"
"냉동","frozen"
"동호회","club"
"즐기다","to enjoy"
"모임","meeting, gathering"
"가입하다","to join"
"보조 배터리","spare battery"
"원래","originally"
"보관하다","to store, to keep"
"절반","half"
