"생일 선물로 카메라 어때요?","How about a camera for their birthday present?"
"다시 하는 거 어때요?","How about doing it again?"
"아는 식당 있어요?","Do you know a restaurant? (e.g., if someone suggests eating a particular food)"
"안으로 들어가다","to go inside"
"어떻다","to be how"
"어떻게 생각해요?","What do you think? (variant using 생각하다, commonly spoken & written)"
"~에 대해서 어떻게 생각해요?","What do you think about ...? (variant using 생각하다)"
"학교에 대해서 어떻게 생각해요?","What do you think about school? (variant using 생각하다)"
"어릴 때","at a young age"
"어릴 때 유학을 가는 것에 대해서 어떻게 생각해요?","What do you think about studying abroad at a young age? (variant using 생각하다)"
"제 아이디어에 대해서 어떻게 생각해요?","What do you think about my idea? (variant using 생각하다)"
"어떤 것 같아요?","What do you think? (variant using ~ㄴ 것 같아요, usu just spoken)"
"학교 어떤 것 같아요?","What do you think about school? (variant using ~ㄴ 것 같아요)"
"제 아이디어 어떤 것 같아요?","What do you think about my idea (variant using ~ㄴ 것 같아요)?"
"가장 좋은 방법 중의 하나","one of the best methods"
"가장 좋은 웹사이트 중의 하나","one of the best websites"
"여기가 제가 제일 자주 오는 카페 중의 하나예요.","This is one of the cafés that I visit most often."
"한국에서 가장 인기 있는 영화 중의 하나예요.","It’s one of the most popular movies in Korea."
"~아/어/여도 될까요?","Is ____ okay? (softer, more polite)"
"여기 앉아도 될까요?","Okay if I sit here? (softer, more polite)"
"~아/어/여 주실래요?","Would you mind (doing something)? (asking someone else to do something)"
"조금 기다려 주실래요?","Do you mind waiting for a bit?"
"한 번 더 설명해 주실래요?","Do you mind explaining one more time?"
"~고 있는 중이다","in the middle of ____ (grammar, longer version)"
"뭐 하고 있는 중이었어요?","What were you in the middle of doing? (longer version)"
"아직 고르고 있는 중이에요.","I am still choosing. (longer version)"
"~는 중이다","in the middle of ____ (grammar, shorter version)"
"뭐 하는 중이었어요?","What were you in the middle of doing? (shorter version)"
"열쇠를 찾는 중이었어요.","I was in the of looking for my keys. (shorter version)"
"아직 고르는 중이에요.","I am still choosing. (shorter version)"
"~는 중이잖아요.","I _am_/they _are_/etc in the middle of ____ (grammar, correcting someone)"
"가고 있는 중이잖아요.","I _am_ on my way (in the middle of going; correcting someone)"
"교수님","professor"
"어머니","mother (polite, discussing one's own mom)"
"엄머님","mother (polite, discussing someone else's mom)"
"아버지","father (polite, discussing one's own father)"
"아버님","father (polite, discussing someone else's father)"
"어차피 ...","One way or another ... (so don't worry); even if ... (won't happen)"
"어차피 다시 올 거예요.","I'll come back again anyway. (So don't worry; e.g., if I forget something)"
"어차피 제가 할 수 있는 일이 아니에요.","Even if I try, it's not something that I can do."
"어차피 해야 되는 거니까, 재미있게 해요.","One way or another, you have to do it anyway, so (you’d better) try to have fun while doing it."
"확실하다","to be sure (but not commonly spoken)"
"확실해요?","Are you sure? (but not very natural)"
"정말이에요?","Are you serious?/Is this for real?"
"스포츠 잘 몰라요","I don't know about sports."
"~(으)ㄴ/는지 잘 모르겠어요","I'm not sure if/whose... (present tense)"
"이거 누구 책인지 잘 모르겠어요.","I'm not sure whose book this is."
"~았/었/였는지 잘 모르겠어요.","I'm not sure if/whose... (past tense)"
"다 끝났는지 잘 모르겠어요.","I’m not sure if it all ended."
"~(으)ㄹ지 잘 모르겠어요.","I'm not sure if/whose... (future tense variant 1)"
"서점이 내일 문을 열지 잘 모르겠어요.","I’m not sure if the bookstore will be open tomorrow. (variant 1)"
"~(으)ㄹ 건지 잘 모르겠어요.","I'm not sure if/whose... (future tense variant 2)"
"서점이 내일 문을 열 건지 잘 모르겠어요.","I’m not sure if the bookstore will be open tomorrow. (variant 2)"
"어디로 갈지 잘 모르겠어요.","I’m not sure where we will go."
"내일 만날지 안 만날지 잘 모르겠어요.","I’m not sure if we will meet tomorrow or not."
"여기가 맞는지 잘 모르겠어요.","I’m not sure if this is the right place."
"뭘 해야 될지 잘 모르겠어요.","I am not sure what to do/what will have to be done."
"이게 무슨 뜻인지 잘 모르겠어요.","I’m not sure what this means."
"~(으)ㄴ 김에","while you are at it (past tense grammar)"
"~는 김에","while you are at it (present tense grammar)"
"백화점에 가는 김에, ...","Since I am going to the department store, ..."
"서울에 온 김에, ...","Since I came to Seoul, ..."
"반납하다","to return (e.g., a library book, something borrowed)"
"도서관에 가는 김에, 제 책도 반납해 주세요.","Since you are going to the library anyway, please return my book, too."
"부탁을 들어주다","to do someone a favor"
"밖에 나간 김에 제 부탁 하나만 들어주세요.","Since you were out, please do me a favor."
"말이 나온 김에, ...","Speaking of which, ..."
"다시 하는 거 어때요?","How about doing it again?"
"다른 사람한테 물어부는 거 어때요?","How about asking other people?"
"안으로 들어가는 거 어때요?","How about going inside?"
"내일 만나서 이야기하는 거 어때요?","How about meeting and talking about it tomorrow?"
"좋은 것 같아요.","I think it's good."
"비 오는 것 같아요.","I think it's raining."
"'콩순이'에 대해서 어떻게 생각해요?","What do you think of 'Kongsuni'? (variant: 어덯게 생각해요?)"
"'콩순이' 어떤 것 같아요?","What do you think of 'Kongsuni'? (variant: 어떤 것 같아요?)"
"그럼 이건 어떤 것 같아?","Then what about about this one? (variant: 어떤 것 같아요?)"
