"fitting","find coefficients for model"
"scoring","Using model (including coefficients) and data to predict"
"null test","A/A test. Useful for identifying issues in deployed testing systems."
"primacy bias","when new variant in A/B test at disadvantage because experienced users unfamiliar (e.g., nav changes)"
"novelty bias","when new variant in A/B test at advantage due to newness, and not necessarily to usefulness"
"Hawthorne effect","observer effect. Individuals modify aspect of response due to awareness of being observed."
"bucket system","randomly assign users to buckets, then assign buckets to experiments"
"carryover effects","same users impacted by prior experiment are used in followup experiment, impacting behavior unrelated to test conditions"
"p13n","personalization"
"regularization","Mathematical cost term that discourages overfitting by penalizing large coefficients"
"Three sources for creating synthetic control","1) Time series data of response prior to intervention; 2) Time series that were predictive of target series prior to intervention; 3) Bayesian prior knowledge about model parameters"
"Difference-in-differences designs (DD)","Estimate the difference b/w pre-post diff in treatment group and pre-post difference in control group"
"state-space models","Models that describe the probabilistic dependence b/w latent state variable and observed measurement (i.e., how given system state translates into measurements)"
"structural time-series models","state-space models for time-series data"
"autocorrelation","correlation b/w elements of a series and others from same series separated by given interval"
"matrix decomposition","Methods that reduce matrix to constituent parts to make it easier to calculate more complex matrix operations. AKA, matrix factorization."
"Cholesky decomposition","Reduces symmetric matrix into lower-triangular matrix which, when multiplied by it's transpose, produces the original symmetric matrix. Useful for efficient numerical calculations, e.g., Monte Carlo simulations."
"Markov Decision Processes (MDP)","Used to find stationary policy that decides which action to take for given state in stochastic environment, ignoring previous states."
"exogenous factors","Factors happening outside a system."
"endogenous factors","Factors happening within a system."
"slates","AKA, asset choreography. Combination of multiple assets, the interaction effects of which result in combinatorics of action space."
"Andrej Karpathy","Taught famous Stanford class on neural networks; director of AI at Testla"
"ReLU","max(0,x). Good default choice of activation fn for neural networks because overcomes vanishing gradient problem."
"Kubeflow","Google-led k8s platform to streamline ML Systems, including various operators, pipelines, hyperparameter tuning, etc."
"Chainer","Open Source deep learning framework written in pure Python on top of NumPy and CuPy in 2015. Currently in maintenance only."
"MXNet","Apache Deep Learning framework"
"PyTorch","Python-based open source lib developed by Facebook AI Research lab."
"XGBoost","Multi-language gradient boosting framework."
"Seldon Core","Open source platform for rapidly deploying ML models on k8s by converting them into REST/GRPC microservices."
"adversarial examples","Inputs to ML models designed to cause the model to make mistakes. (E.g., adding noise to images to confuse CNNs.)"
"Amazon SageMaker","AWS integrated toolset for building, training, and deploying ML models."
"Amazon SageMaker Feature Store","AWS managed feature store."
"AutoML","The process of automating the tasks of applying machine learning to real-world problems."
"Augmented ML","Figuring out how a human and machine can best work together to make machine learning more effective."
"Feast","Open Source feature story created by GoJek with support from Tecton, Google, etc. Purely managed retrieval, not transformation."
"Feature encoders","Feature transformation code that can be invoked at training and scoring time."
"Feature store","Service storing batch & streaming features for both offline and online use. Often provides low-latency serving."
"Flyte","Lyft's open source, Kubernetes-native platform to increase development velocity for machine learning and data processing by abstracting away the infrastructure and data dependency management."
"Gaussian process","Probability distribution over possible functions. Sampling results in different functions, and we use Bayes' rule to update our distribution of functions based on observed data."
"GKE","Google Kubernetes Engine. (acronym) Google Cloud's managed Kubernetes service."
"Kubeflow","Google framework that implements TFX in Kubernetes."
"Kubeflow Pipelines","Kubeflow component providing platform for building & deploying portable, scalable ML workflows based on Docker containers."
"machine learning","Using data to automatically learn a function in order to make predictions."
"Metaflow","Netflix's open source human centric framework for orchestrating ML workflows, with strong AWS integration."
"Michelangelo","Uber's internal ML-as-a-service platform."
"MLOps","Set of practices at intersection of ML, DevOps, and Data Engineering."
"model serving","Process of retrieving models from model registry, features from feature store, and outputs predictions"
"Neural Architecture Search","using neural networks to design neural networks. typically, reinforcement learning or evolutionary algorithms are used to design the new neural net architectures."
"Palette","Uber/Michelangelo's (non open source) feature store, leveraging Hive for offline store and Cassandra for online store."
"parametric methods","Models that distill knowledge into sets of numbers; e.g., linear regression into two (intercept & slops); neural networks into thousands or millions."
"partitioned models","Train separate models on each partition of a dataset. (e.g., city)"
"Stitch Fix","Online personal styling service using recommendation algorithms and data science to personalize clothing items based on size, budget, and style."
"Tecton","Enterprise-ready cloud based managed feature store, by creators of Uber's Michelangelo."
"Tensorflow Data Validation","One of the first TFX components open sourced, and can be used to detect problems like skew, erroneous values, or too many nulls."
"TensorFlow eXtended (TFX)","Google's end-to-end modular platform for building & deploying TensorFlow models."
"terraform-gke-kubeflow-cluster","Spotify's open source Terraform module for creating GKE clusters for running Kubeflow."
"train-serve skew","Difference between performance of model during training & performance during serving."
